"block","r","obs","lo","hi"
1,1632,235.648055035745,-22.7285288386502,24.4995164162349
1,1656,235.30361418817,-22.8368172919936,24.2764151037663
1,1680,236.279768438481,-23.6173571159309,25.3383955951176
1,1704,235.761496949363,-23.1494429131196,24.8097092243249
1,1728,235.325937636539,-23.5090849999435,24.8218260014969
1,1752,234.661145557736,-24.2618925859053,24.6038834522046
1,1776,233.522435679017,-25.3728718219277,24.9755710643908
1,1800,232.281749596558,-25.6154201818408,24.4010713021732
1,1824,232.152778552977,-26.7053124556048,24.3030354099269
1,1848,231.92078508203,-27.9096853457479,24.4527933118488
1,1872,231.916907680675,-28.1489581510079,24.6310463752438
1,1896,231.27128292933,-27.5771661853962,25.3132042558223
1,1920,231.02282025909,-28.0303634373113,26.4502927683504
1,1944,230.700958404403,-28.1431132347047,27.0529740441211
1,1968,230.663424334829,-27.4621350477962,26.8344011241961
1,1992,231.015484273042,-28.6493189679952,27.4597418244673
1,2016,231.087564083271,-28.4764116924091,27.2442089985566
1,2040,230.722312922512,-29.097228548967,27.0159713629369
1,2064,230.523118125962,-28.8792882250705,27.2521380258509
1,2088,229.227602841126,-29.6608646581308,27.1584183628702
1,2112,228.833229783043,-29.9818402583269,26.6675943709702
1,2136,227.905388687067,-29.4419811233197,28.153085227822
1,2160,227.413213174599,-30.1701055017693,28.6577278660043
1,2184,226.474065830771,-30.9251601382425,29.895292959925
1,2208,225.558289343276,-32.2693121779766,29.9676539406555
1,2232,225.216378483995,-32.8004064439792,30.3795055187411
1,2256,224.719181449498,-34.0248709327793,30.9108070111402
1,2280,223.732926035794,-34.7967495804996,31.451477110325
1,2304,223.736554979199,-34.6508201368529,32.1775809674659
1,2328,223.487841614744,-34.8477240832826,32.0544896585666
1,2352,223.195120367201,-35.8222089254518,32.5784105493826
1,2376,222.952401840454,-35.7623286016001,32.8284394868638
1,2400,222.031298050526,-36.3467127482063,32.934189653577
1,2424,222.082462939221,-37.6265368188519,33.2801875142104
1,2448,221.825672015848,-38.1694833092729,33.4926589072102
1,2472,221.742059976016,-39.0451570508985,33.6905624216183
1,2496,221.888987662959,-39.5709433404631,33.3908588352078
1,2520,221.744887050162,-40.6599314298683,34.0688641139704
1,2544,221.189800719162,-40.3543052822374,34.4078678834499
1,2568,221.563282449592,-41.342045111649,34.5898884812013
1,2592,220.72024915168,-41.2165732804147,35.6422958994822
1,2616,221.0519616961,-41.5155178136706,36.4534685918215
1,2640,220.673253731081,-41.7101376218093,36.7996756044404
1,2664,220.728087862609,-42.4036756840051,37.3545536235006
1,2688,219.417314588217,-42.3668049741541,37.3601885359394
1,2712,220.403925480155,-43.5719504359827,37.3114909362689
1,2736,221.011099172624,-43.8904072520686,37.8781648230829
1,2760,221.178125839458,-44.1928774484791,38.9186231633198
1,2784,220.945030102132,-45.1446900204382,39.7112140550694
1,2808,220.378376741756,-46.1764063366895,40.0651244624605
1,2832,220.033768914272,-47.0176390578663,40.6492916087454
1,2856,219.665445500736,-47.4935732641657,40.5734608810676
1,2880,219.06999121082,-47.8789474945374,41.8084910321304
1,2904,217.369109431165,-48.3565908806759,42.4593277604363
1,2928,216.923425072487,-48.3227626485896,43.8409849457203
1,2952,216.525240396856,-49.6885478363965,44.788691879146
1,2976,216.289051908653,-50.949239372967,45.6939381503435
1,3000,215.516642888267,-52.2910872866255,46.580532766623
2,0,0,0,0
2,24,-24,-8.70017098290448,11.2299069723752
2,48,13.7863048425809,-8.19858735365997,13.9401621898221
2,72,77.943077616568,-10.8173774309075,12.2089593330227
2,96,99.6260249544843,-18.0579738700324,10.4993248217341
2,120,116.821400999319,-14.5381733714226,9.82231003024725
2,144,130.024980485818,-9.13645756688138,10.8147451155185
2,168,136.675760504938,-11.85405696471,7.13091078376459
2,192,144.513468149188,-11.9934282796912,7.40996116776182
2,216,149.412840324733,-12.8261237239613,7.24527250319736
2,240,155.976577039031,-11.7607445222494,6.80169805827495
2,264,158.505306838231,-9.47453933768702,7.6272228128596
2,288,162.560288686379,-11.2917537627043,9.94655273401753
2,312,162.918963848483,-12.9436914187268,8.50389526792327
2,336,164.855242840772,-16.4016583792231,10.1834377085599
2,360,168.051993985436,-12.4255189250552,12.3442336928733
2,384,169.539636453366,-12.558658611761,12.3347071223479
2,408,173.067151996954,-13.7533903757044,13.6280125592828
2,432,175.916402475869,-16.0624434464626,13.6231589499712
