cluster_id,morph_type,n,hull_ar,scatter_ar,linearity,pair_axial_R,arbin
10325,Type1,8,3.1049511641174607,3.646238248749012,0.9300457316001592,0.5362638272024574,"(3.0, 4.0]"
10327,Type1,10,2.4679503205954108,2.3719363535689375,0.8490812534265884,0.3794960444310658,"(2.0, 2.5]"
10328,Type0,5,4.305098266120038,4.0891177746908625,0.9435694071408556,0.6143813465425808,"(4.0, 10.0]"
10329,Type1,33,1.082671560983939,2.2979065982585825,0.840773832406002,0.42286661355626914,"(1.0, 1.5]"
10331,Type1,11,1.870812314909709,2.1117966150984713,0.8168392479893973,0.4024377134208971,"(1.5, 2.0]"
10336,Type0,9,3.48767283924635,3.3917108775031153,0.9200236901127209,0.5015406928175781,"(3.0, 4.0]"
10337,Type1,8,2.2030811882649415,2.2726341357187136,0.8377904704149699,0.32733362298759433,"(2.0, 2.5]"
10338,Type0,6,3.3069551013073557,3.7022493998229824,0.932003552274318,0.5419068870787276,"(3.0, 4.0]"
10339,Type0,9,4.376153749067216,4.434102020557109,0.9516002429314243,0.6493880720235723,"(4.0, 10.0]"
10343,Type0,5,4.3833837336497625,4.1627205423229565,0.9454393944112874,0.6083899975123291,"(4.0, 10.0]"
10344,Type1,31,1.5376706826227848,2.165052116818163,0.824174299122859,0.36174929245474263,"(1.5, 2.0]"
10345,Type0,9,4.14105297279865,4.085710965320916,0.9434805814089263,0.6676482559407834,"(4.0, 10.0]"
10346,Type1,8,1.4351343952531133,1.5208926019307223,0.698169182389626,0.23558386435333767,"(1.0, 1.5]"
10359,Type1,5,1.2794947341295992,1.1505772676833117,0.569675561636659,0.12411049800953235,"(1.0, 1.5]"
10363,Type1,9,2.7253141349828605,2.202638120684708,0.8291069981777128,0.4496924714760488,"(2.5, 3.0]"
10373,Type1,6,1.8270838857240927,1.8461500638941193,0.7731536437767006,0.24413585223929388,"(1.5, 2.0]"
10374,Type1,44,1.6420135003428196,1.9453308490325152,0.7909835360760625,0.3143966138258491,"(1.5, 2.0]"
10376,Type1,26,2.193161054403781,2.5952538076508618,0.8707232391483856,0.43791699699436204,"(2.0, 2.5]"
10377,Type1,324,1.839672390121638,2.408950451055333,0.8530069402066196,0.4109940946018552,"(1.5, 2.0]"
10387,Type1,22,1.8670856268725575,1.5254905950133333,0.6994398962205953,0.18626429062969815,"(1.5, 2.0]"
10390,Type1,6,3.0126233504521505,2.602191993173848,0.8713231088118707,0.5356038626967093,"(3.0, 4.0]"
10391,Type1,6,1.080150470921694,1.53649940126966,0.7024544895231285,0.1791953357472651,"(1.0, 1.5]"
10399,Type1,5,3.5014121175504056,3.5740759068979275,0.9273995462114643,0.4876683128924214,"(3.0, 4.0]"
10402,Type0,8,3.302016025247337,3.253598731466729,0.9136882250089842,0.5215547120019627,"(3.0, 4.0]"
10413,Type1,6,1.0541898998123027,1.0930539055914228,0.5443707360918913,0.06687330944059731,"(1.0, 1.5]"
10426,Type1,6,2.5836471289900964,2.6658258177596688,0.876644137672969,0.44467654803594825,"(2.5, 3.0]"
10430,Type1,9,1.332201924915596,1.4745457208235573,0.6849684341778759,0.26612848278560913,"(1.0, 1.5]"
10434,Type1,7,1.0935168033456957,1.2998957701856964,0.6282153350624116,0.14943628898570238,"(1.0, 1.5]"
10442,Type1,6,1.3212649956106417,1.8325665775870268,0.7705527522088998,0.38463609546287514,"(1.0, 1.5]"
10444,Type0,6,6.1103548230599065,5.885084955926088,0.9719370913292831,0.7120615994357546,"(4.0, 10.0]"
10447,Type0,16,4.558042902737604,4.466180600455339,0.9522599407785465,0.648332619566623,"(4.0, 10.0]"
