"block","r","obs","lo","hi"
4,432,683.109469636829,-8.93392545887218,5.59162501149439
4,456,677.693353475112,-8.59651219737367,5.63956825306366
4,480,673.34175581068,-7.87231764296462,4.85391952127458
4,504,668.340475857294,-8.76621307337416,4.91004912656376
4,528,663.976149389656,-8.4819053943927,4.71982120753444
4,552,658.683444357657,-9.02719592338633,5.1816525432597
4,576,654.362902255554,-9.30236533479149,4.90254222505132
4,600,650.561609161614,-9.92712859680114,5.91026248545711
4,624,647.529185941952,-9.68204827131149,6.93228416979048
4,648,645.203045552114,-10.3273399205237,6.84795197113351
4,672,643.596171046199,-9.70846740992079,7.20303218208574
4,696,642.384367015568,-10.4968921071479,8.50407731906137
4,720,640.826595929315,-11.1852703332455,8.85829932841636
4,744,639.234920201601,-11.8017338374972,7.97688122498232
4,768,637.489640390826,-12.7556198083488,8.18381828449935
4,792,634.249646613913,-13.9706971442823,8.80001350216605
4,816,632.409593168453,-14.3786606582914,8.74484560730968
4,840,632.592563324767,-14.3879208298538,8.80405069062328
4,864,631.285023793127,-14.7217843563678,9.39318134524217
4,888,630.071442234998,-16.0799853854695,9.91225725406275
4,912,628.659175149445,-16.5036221756807,9.78202658630835
4,936,627.45219668985,-16.8576646006881,10.4802208210432
4,960,625.071161630387,-16.970856201261,11.058369090055
4,984,621.246377103267,-17.2922533748502,11.3143919919473
4,1008,617.326282162499,-17.8694570417663,12.2508474265733
4,1032,612.581016847501,-18.5355494069934,12.8015192840289
4,1056,608.881037499706,-18.7179691988679,12.4833525023814
4,1080,604.14915239366,-18.2961567775365,12.3201337029209
4,1104,598.736692010934,-18.2293005648089,12.4206063013128
4,1128,594.37317819547,-18.3650794095961,12.8563811301458
4,1152,592.161640185439,-18.3022653060323,13.1304765946109
4,1176,589.379586431925,-18.8092268685227,13.3424790705149
4,1200,584.518079766342,-18.9809085745756,13.135845245559
4,1224,580.746875437561,-18.9018797272033,13.3832538085719
4,1248,576.447021938846,-19.1689751757492,13.6379266075025
4,1272,572.759633785139,-19.7251734738134,14.0757921776437
4,1296,567.876721086082,-20.1284020855683,14.3292831848387
4,1320,563.04048621678,-20.3240916620412,14.6605290796876
4,1344,557.977867439932,-20.6053052488423,14.8384472232133
4,1368,552.882024897963,-20.9248096895838,14.9524045946782
4,1392,547.997934120642,-21.2869847151176,15.6019705884016
4,1416,542.597937278574,-21.3543951319787,15.9515097688852
4,1440,536.485524447278,-21.1880549055484,16.8307895765709
4,1464,528.924442907593,-21.392173976677,17.2132655890687
4,1488,521.850830430506,-22.5786703209183,17.9102385892752
4,1512,515.388656534113,-22.4407503255879,17.902931831565
4,1536,509.398384144586,-23.1742908528765,18.9843789391743
4,1560,505.122618793762,-23.9600624364075,19.4713694157056
4,1584,501.830229770581,-24.5934747627921,20.0314380494942
4,1608,498.016304810425,-24.6314355978702,20.6035634312173
4,1632,491.708936096755,-24.5920283413811,20.6558476351943
4,1656,485.488050215294,-25.1599955347197,20.8735015657317
4,1680,479.299789234448,-26.2126360451125,21.2316072745623
4,1704,472.883633867282,-26.3803915858875,21.2834376443866
4,1728,467.95543823425,-26.8307222187254,21.6293860327621
4,1752,463.590151132646,-27.155747087269,21.5580145007768
4,1776,458.237662068009,-27.3135677218697,21.9109329692551
4,1800,453.893038228795,-27.6123874475222,22.7672613828656
4,1824,449.479950053313,-27.7231533358802,23.3277420419436
4,1848,444.657937899736,-27.7846764782485,23.8996659972379
4,1872,438.887183501775,-28.0763258330826,24.4801461186937
4,1896,432.373458808742,-28.7310258150053,24.7784979965522
4,1920,426.317147401222,-29.1307488537921,25.4818975395624
4,1944,420.304200262235,-29.8916726719037,25.9184707122083
4,1968,414.247581037294,-30.5118433848966,26.2933170066938
4,1992,407.889988282238,-31.3762185031233,26.8640786867361
4,2016,401.4264399604,-31.4105160815147,27.0494602379085
5,0,0,0,0
5,24,298.181628318283,-3.40604451744947,1.41243350405495
5,48,470.117068698201,-3.97409558656367,1.1325718351124
5,72,601.864505013593,-2.68939922360784,1.53511646077433
5,96,709.093372751811,-2.50256245274788,3.00886674782835
5,120,794.006147776927,-2.39132963376026,3.29289555286394
5,144,866.108997073478,-2.10438348040194,2.84799832150389
5,168,928.639690856954,-2.85281870839384,2.48147531599511
5,192,979.966132598739,-3.32080372597733,3.49264705194975
5,216,1023.31234393683,-4.21184799768716,3.76326659408647
5,240,1061.27103513491,-4.92547667439061,3.34926876142936
5,264,1094.03018466965,-4.58794668546454,3.39034522522223
5,288,1123.55064643268,-5.06787450346155,3.95846829973777
5,312,1150.18881181635,-6.03290726587687,3.54641099786693
5,336,1173.89035602147,-6.69285144349413,2.91909776498852
5,360,1193.96029399378,-6.99215912064273,3.02704374185919
5,384,1212.40698576177,-7.46501420676066,3.51556328492563
5,408,1228.06423458463,-7.98182158209505,3.55216133755249
5,432,1241.47357357345,-8.19395694816114,4.54483144975018
5,456,1253.44689617503,-7.7444593686339,4.49330531791543
5,480,1264.10905468193,-7.89333422742777,4.58728794189574
5,504,1273.85742534755,-8.35933926975679,4.90594447140302
5,528,1283.06686445268,-8.7479377996807,4.76718017365192
5,552,1290.71165728429,-9.29022767831589,4.8513059925308
5,576,1296.05336875845,-9.63107117980462,4.62501027092026
5,600,1299.69132603683,-10.0690433324628,4.40727803828008
5,624,1302.16274093292,-10.0058061642242,4.35833384665364
